date,rate
2017-08-23 ,良 
2017-08-24 ,优 
2017-08-25 ,优 
2017-08-26 ,良 
2017-08-27 ,优 
2017-08-28 ,优 
2017-08-29 ,良 
2017-08-30 ,良 
2017-08-31 ,轻度污染 
2017-09-01 ,中度污染 
2017-09-02 ,轻度污染 
2017-09-03 ,良 
2017-09-04 ,轻度污染 
2017-09-05 ,良 
2017-09-06 ,良 
2017-09-07 ,轻度污染 
2017-09-08 ,中度污染 
2017-09-09 ,轻度污染 
2017-09-10 ,轻度污染 
2017-09-11 ,优 
2017-09-12 ,良 
2017-09-13 ,轻度污染 
2017-09-14 ,轻度污染 
2017-09-15 ,良 
2017-09-16 ,轻度污染 
2017-09-17 ,优 
2017-09-18 ,良 
2017-09-19 ,良 
2017-09-20 ,良 
2017-09-21 ,良 
2017-09-22 ,良 
2017-09-23 ,轻度污染 
2017-09-24 ,轻度污染 
2017-09-25 ,轻度污染 
2017-09-26 ,良 
2017-09-27 ,良 
2017-09-28 ,优 
2017-09-29 ,良 
2017-09-30 ,轻度污染 
2017-10-01 ,良 
2017-10-02 ,优 
2017-10-03 ,优 
2017-10-04 ,良 
2017-10-05 ,良 
2017-10-06 ,良 
2017-10-07 ,轻度污染 
2017-10-08 ,中度污染 
2017-10-09 ,优 
2017-10-10 ,优 
2017-10-11 ,优 
2017-10-12 ,优 
2017-10-13 ,良 
2017-10-14 ,良 
2017-10-15 ,良 
2017-10-16 ,良 
2017-10-17 ,良 
2017-10-18 ,良 
2017-10-19 ,良 
2017-10-20 ,轻度污染 
2017-10-21 ,良 
2017-10-22 ,良 
2017-10-23 ,良 
2017-10-24 ,良 
2017-10-25 ,轻度污染 
2017-10-26 ,重度污染 
2017-10-27 ,重度污染 
2017-10-28 ,良 
2017-10-29 ,优 
2017-10-30 ,良 
2017-10-31 ,良 
2017-11-01 ,良 
2017-11-02 ,良 
2017-11-03 ,优 
2017-11-04 ,良 
2017-11-05 ,轻度污染 
2017-11-06 ,重度污染 
2017-11-07 ,轻度污染 
2017-11-08 ,良 
2017-11-09 ,良 
2017-11-10 ,优 
2017-11-11 ,优 
2017-11-12 ,良 
2017-11-13 ,良 
2017-11-14 ,优 
2017-11-15 ,优 
2017-11-16 ,良 
2017-11-17 ,良 
2017-11-18 ,良 
2017-11-19 ,轻度污染 
2017-11-20 ,轻度污染 
2017-11-21 ,中度污染 
2017-11-22 ,优 
2017-11-23 ,优 
2017-11-24 ,良 
2017-11-25 ,良 
2017-11-26 ,优 
2017-11-27 ,良 
2017-11-28 ,良 
2017-11-29 ,优 
2017-11-30 ,良 
2017-12-01 ,良 
2017-12-02 ,重度污染 
2017-12-03 ,良 
2017-12-04 ,优 
2017-12-05 ,良 
2017-12-06 ,良 
2017-12-07 ,优 
2017-12-08 ,良 
2017-12-09 ,良 
2017-12-10 ,优 
2017-12-11 ,优 
2017-12-12 ,优 
2017-12-13 ,良 
2017-12-14 ,良 
2017-12-15 ,良 
2017-12-16 ,优 
2017-12-17 ,良 
2017-12-18 ,优 
2017-12-19 ,良 
2017-12-20 ,良 
2017-12-21 ,良 
2017-12-22 ,良 
2017-12-23 ,良 
2017-12-24 ,优 
2017-12-25 ,良 
2017-12-26 ,良 
2017-12-27 ,良 
2017-12-28 ,轻度污染 
2017-12-29 ,重度污染 
2017-12-30 ,轻度污染 
2017-12-31 ,良 
